step,maxId,removed,holderDegree,s4,v4,s6,v6,s8,v8,s12,v12,holderTrend,bgSucc,bgHits,bgVis,rewireNodes,rewireJoins,edges,holderTrending
200,209,44,-1,0,62,0,117,0,132,0,136,0,15,25,130,0,0,585,0
400,409,104,-1,0,69,0,168,0,216,0,224,0,19,51,213,0,0,1153,0
600,609,162,-1,0,77,0,217,0,304,0,338,0,19,57,305,0,0,1724,0
800,809,218,-1,0,80,0,249,0,377,0,440,0,20,71,392,0,0,2300,0
1000,1009,268,-1,0,85,0,272,0,452,0,519,0,20,87,449,0,0,2879,0
1200,1209,332,-1,0,87,0,309,0,528,0,629,0,20,91,527,1,2,3434,0
1400,1409,379,-1,0,87,0,335,0,613,0,746,0,20,123,611,1,2,4008,0
1600,1609,444,-1,0,87,0,347,0,674,0,817,0,20,134,658,1,2,4589,0
1800,1809,495,-1,0,92,0,387,0,753,0,932,0,20,142,745,0,0,5158,0
2000,2009,553,-1,0,90,0,388,0,795,0,1029,0,20,148,806,0,0,5737,0
2200,2209,610,-1,0,92,0,414,0,853,0,1125,0,20,185,860,0,0,6297,0
2400,2409,668,-1,0,93,0,428,0,917,0,1213,0,20,177,919,3,6,6881,0
2600,2609,731,-1,0,93,0,433,0,959,0,1298,0,20,171,953,6,12,7474,0
2800,2809,794,3,0,96,2,436,4,977,9,1369,0,20,196,980,5,10,8073,0
3000,3009,851,3,1,93,5,447,4,1032,6,1454,0,20,221,1027,3,6,8649,0
3200,3209,915,3,0,92,2,470,8,1110,5,1559,0,20,207,1084,2,4,9211,0
3400,3409,993,3,0,99,2,477,5,1120,11,1612,0,20,229,1121,4,8,9794,0
3600,3609,1052,3,0,95,2,491,9,1161,9,1699,0,20,225,1147,5,10,10388,0
3800,3809,1119,3,0,97,0,483,7,1163,9,1777,0,20,234,1165,4,8,10976,0
4000,4009,1173,3,0,98,0,477,3,1228,6,1835,0,20,242,1218,4,8,11575,0
4200,4209,1237,3,0,93,2,496,5,1270,5,1926,0,20,255,1235,2,4,12151,0
4400,4409,1305,3,0,93,1,506,4,1311,4,2004,0,20,256,1315,3,6,12735,0
4600,4609,1365,3,1,99,2,508,5,1354,3,2100,0,20,271,1343,2,4,13312,0
4800,4809,1423,3,0,98,0,518,3,1365,7,2189,0.03,20,305,1371,4,8,13902,0
5000,5009,1477,3,0,102,1,519,2,1413,9,2291,0.0234,20,283,1390,5,10,14495,0
5200,5209,1543,3,0,100,1,550,1,1479,4,2408,0.0181,20,287,1485,4,8,15053,0
5400,5409,1603,3,0,101,2,535,5,1512,8,2485,0.0139,20,292,1502,3,6,15639,0
5600,5609,1655,3,0,100,1,538,5,1524,7,2570,0.0331,20,330,1536,3,6,16231,0
5800,5809,1725,3,0,99,1,552,2,1559,2,2646,0.0255,20,337,1606,3,6,16806,0
6000,6009,1790,3,0,100,1,569,3,1624,5,2738,0.0394,20,344,1611,3,6,17383,0
6200,6209,1858,3,0,99,0,569,3,1641,3,2801,0.0526,20,371,1665,4,8,17969,0
6400,6409,1916,3,0,100,3,551,3,1645,7,2878,0.0763,20,313,1666,5,10,18557,0
6600,6609,1966,5,0,99,3,557,4,1679,6,2962,0.1036,20,314,1691,8,16,19162,1
6800,6809,2024,7,0,99,3,582,9,1722,10,3027,0.0839,20,333,1692,6,12,19756,1
7000,7009,2086,10,1,100,6,564,8,1720,15,3103,0.0866,20,368,1743,3,6,20347,1
7200,7209,2144,12,0,98,3,577,13,1786,16,3192,0.0771,20,359,1781,4,8,20924,1
7400,7409,2220,14,0,101,4,600,13,1804,18,3300,0.078,20,403,1826,5,10,21509,1
7600,7609,2276,16,3,99,2,592,14,1840,17,3376,0.1263,20,373,1852,2,4,22093,1
7800,7809,2333,20,2,102,5,587,16,1894,20,3461,0.1466,20,365,1866,2,4,22677,1
8000,8009,2381,23,1,98,4,592,15,1874,19,3547,0.169,20,366,1900,1,2,23265,1
8200,8209,2442,25,1,102,4,602,16,1891,20,3577,0.1737,20,373,1895,1,2,23856,1
8400,8409,2517,27,2,100,8,611,17,1901,20,3629,0.1674,20,410,1932,1,2,24439,1
8600,8609,2578,31,3,100,5,598,19,1945,20,3726,0.157,20,429,1968,3,6,25024,1
8800,8809,2641,33,2,101,7,585,18,1965,20,3777,0.1582,20,384,1956,3,6,25616,1
9000,9009,2709,-1,0,100,0,594,0,1967,0,3827,0,20,383,1951,2,4,26208,0
9200,9209,2769,3,0,101,0,610,3,1966,10,3928,0,20,410,2000,2,4,26799,0
9400,9409,2826,3,0,100,0,621,4,2040,6,4027,0,20,437,2016,2,4,27382,0
9600,9609,2895,3,0,101,2,628,1,2069,10,4104,0.06,20,372,2028,1,2,27967,0
9800,9809,2972,5,0,102,0,627,5,2101,19,4173,0.0668,20,428,2080,4,8,28551,1
