step,maxId,removed,holderDegree,s4,v4,s6,v6,s8,v8,s12,v12,holderTrend,bgSucc,bgHits,bgVis,rewireNodes,rewireJoins,edges,holderTrending,entK,entC,entL,holderEntryRule,deg1,s8i1,trending1,deg2,s8i2,trending2,deg3,s8i3,trending3,deg4,s8i4,trending4
200,209,66,-1,0,59,0,103,0,111,0,114,0,16,29,112,0,0,553,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
400,409,126,-1,0,67,0,164,0,201,0,211,0,16,37,199,0,0,1125,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
600,609,186,-1,0,78,0,200,0,289,0,310,0,19,55,285,0,0,1686,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
800,809,244,-1,0,80,0,255,0,383,0,419,0,20,84,379,0,0,2259,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
1000,1009,300,-1,0,86,0,281,0,451,0,510,0,19,71,456,1,2,2834,0,0,0,1,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
1200,1209,369,-1,0,83,0,301,0,492,0,569,0,18,79,493,1,2,3414,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
1400,1409,431,-1,0,85,0,325,0,545,0,667,0,20,123,555,2,4,3992,0,0,0,1,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
1600,1609,494,-1,0,90,0,323,0,610,0,725,0,20,142,609,2,4,4570,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
1800,1809,548,-1,0,86,0,345,0,658,0,817,0,20,138,660,1,2,5154,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
2000,2009,623,-1,0,90,0,355,0,713,0,922,0,20,136,711,2,4,5730,0,1,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
2200,2209,683,-1,0,89,0,394,0,773,0,1004,0,20,148,779,2,4,6309,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
2400,2409,741,-1,0,94,0,416,0,844,0,1102,0,20,157,830,3,6,6886,0,1,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
2600,2609,797,-1,0,93,0,431,0,882,0,1196,0,20,174,878,6,12,7481,0,2,0,1,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
2800,2809,859,-1,0,93,0,422,0,944,0,1292,0,20,213,930,3,6,8057,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
3000,3009,919,-1,0,94,0,436,0,974,0,1363,0,20,187,987,3,6,8638,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
3200,3209,967,-1,0,93,0,433,0,993,0,1431,0,20,227,1002,3,6,9238,0,0,0,2,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
