step,maxId,removed,holderDegree,s4,v4,s6,v6,s8,v8,s12,v12,holderTrend,bgSucc,bgHits,bgVis,rewireNodes,rewireJoins,edges,holderTrending,entK,entC,entL,holderEntryRule,deg1,s8i1,trending1,deg2,s8i2,trending2,deg3,s8i3,trending3,deg4,s8i4,trending4
200,209,48,-1,0,58,0,109,0,122,0,125,0,11,14,123,0,0,575,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
400,409,103,-1,0,69,0,174,0,225,0,238,0,13,41,222,0,0,1146,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
600,609,163,-1,0,77,0,217,0,310,0,327,0,20,59,296,0,0,1726,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
800,809,221,-1,0,81,0,248,0,382,0,423,0,18,62,381,0,0,2299,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
1000,1009,281,-1,0,85,0,295,0,467,0,539,0,20,99,473,0,0,2866,0,0,0,2,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
1200,1209,348,-1,0,89,0,334,0,533,0,627,0,20,109,542,0,0,3410,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
1400,1409,410,-1,0,88,0,352,0,608,0,714,0,20,126,607,0,0,3975,0,0,0,1,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
1600,1609,464,-1,0,91,0,359,0,680,0,822,0,20,116,673,0,0,4549,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
1800,1809,525,-1,0,94,0,390,0,727,0,903,0,20,143,727,0,0,5121,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
2000,2009,586,-1,0,93,0,402,0,781,0,1005,0,20,169,796,0,0,5682,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
2200,2209,656,-1,0,94,0,413,0,845,0,1086,0,20,140,849,0,0,6247,0,1,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
2400,2409,721,-1,0,94,0,438,0,908,0,1176,0,20,162,877,0,0,6814,0,0,0,1,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
2600,2609,786,-1,0,93,0,431,0,931,0,1268,0,20,184,939,0,0,7382,0,2,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
2800,2809,842,-1,0,95,0,429,0,970,0,1351,0,20,214,982,0,0,7958,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
3000,3009,906,-1,0,93,0,437,0,1029,0,1423,0,20,202,1009,0,0,8538,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
3200,3209,965,-1,0,96,0,454,0,1053,0,1502,0,20,192,1042,0,0,9117,0,1,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
3400,3409,1015,-1,0,98,0,478,0,1119,0,1620,0,20,236,1136,0,0,9682,0,1,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
3600,3609,1075,-1,0,97,0,477,0,1161,0,1696,0,20,263,1157,0,0,10270,0,0,0,1,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
3800,3809,1129,-1,0,98,0,512,0,1206,0,1795,0,20,226,1207,0,0,10847,0,1,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
