step,maxId,removed,holderDegree,s4,v4,s6,v6,s8,v8,s12,v12,holderTrend,bgSucc,bgHits,bgVis,rewireNodes,rewireJoins,edges,holderTrending,entK,entC,entL,holderEntryRule,deg1,s8i1,trending1,deg2,s8i2,trending2,deg3,s8i3,trending3,deg4,s8i4,trending4
200,209,44,-1,0,62,0,117,0,132,0,136,0,15,25,130,0,0,585,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
400,409,98,-1,0,73,0,179,0,236,0,250,0,19,57,237,0,0,1161,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
600,609,163,-1,0,77,0,221,0,307,0,338,0,19,70,310,0,0,1735,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
800,809,226,-1,0,77,0,250,0,377,0,417,0,20,70,375,0,0,2312,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
1000,1009,290,-1,0,83,0,272,0,449,0,508,0,20,90,443,1,2,2893,0,1,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
1200,1209,347,-1,0,85,0,303,0,508,0,612,0,20,97,507,1,2,3464,0,0,0,1,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
1400,1409,412,-1,0,85,0,320,0,569,0,693,0,20,100,562,1,2,4052,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
1600,1609,480,-1,0,88,0,353,0,635,0,793,0,20,127,636,1,2,4620,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
1800,1809,533,-1,0,88,0,370,0,682,0,855,0,20,131,681,2,4,5210,0,1,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
2000,2009,601,-1,0,87,0,393,0,725,0,944,0,20,139,726,2,4,5790,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
2200,2209,666,-1,0,89,0,373,0,785,0,1020,0,20,158,761,2,4,6386,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
2400,2409,737,-1,0,95,0,428,0,862,0,1144,0,20,153,866,4,8,6946,0,2,0,1,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
2600,2609,801,-1,0,95,0,425,0,918,0,1241,0,20,175,929,1,2,7515,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
2800,2809,856,-1,0,99,0,441,0,969,0,1326,0,20,171,971,2,4,8111,0,2,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
3000,3009,923,-1,0,98,0,434,0,1017,0,1416,0,20,213,1010,2,4,8690,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
3200,3209,992,-1,0,91,0,462,0,1033,0,1462,0,20,209,1041,1,2,9282,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
3400,3409,1062,-1,0,94,0,448,0,1051,0,1497,0,20,211,1036,2,4,9868,0,1,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
