step,maxId,removed,holderDegree,s4,v4,s6,v6,s8,v8,s12,v12,holderTrend,bgSucc,bgHits,bgVis,rewireNodes,rewireJoins,edges,holderTrending,entK,entC,entL,holderEntryRule
200,209,48,-1,0,58,0,109,0,122,0,125,0,11,14,123,0,0,575,0,0,0,0,0
400,409,99,-1,0,70,0,176,0,219,0,233,0,14,32,222,0,0,1155,0,0,0,0,0
600,609,160,-1,0,75,0,231,0,311,0,338,0,19,61,316,0,0,1715,0,0,0,0,0
800,809,222,-1,0,86,0,251,0,392,0,426,0,20,62,391,0,0,2274,0,0,0,0,0
1000,1009,267,-1,0,84,0,290,0,466,0,526,0,20,95,461,0,0,2856,0,0,0,0,0
1200,1209,331,-1,0,83,0,312,0,520,0,618,0,20,98,523,0,0,3434,0,0,0,0,0
1400,1409,396,-1,0,88,0,351,0,630,0,732,0,20,113,623,0,0,3989,0,0,0,0,0
1600,1609,451,-1,0,89,0,368,0,676,0,819,0,20,148,667,0,0,4563,0,0,0,0,0
1800,1809,505,-1,0,90,0,388,0,752,0,919,0,20,150,734,0,0,5137,0,0,0,0,0
2000,2009,568,-1,0,89,0,410,0,784,0,996,0,20,156,793,0,0,5700,0,0,0,0,0
2200,2209,627,-1,0,94,0,427,0,874,0,1132,0,20,184,888,0,0,6246,0,0,0,0,0
2400,2409,690,-1,0,94,0,416,0,918,0,1207,0,20,148,921,2,4,6826,0,2,0,0,0
2600,2609,742,-1,0,99,0,453,0,1001,0,1328,0,20,203,988,1,2,7402,0,0,0,0,0
2800,2809,803,-1,0,96,0,457,0,1044,0,1423,0,20,203,1047,0,0,7979,0,0,0,0,0
3000,3009,862,3,0,97,1,477,7,1112,9,1531,0,20,229,1104,0,0,8537,0,0,0,0,0
3200,3209,916,3,1,95,2,483,4,1151,6,1600,0,20,225,1149,0,0,9114,0,0,0,0,0
3400,3409,966,3,0,99,2,479,10,1164,10,1691,0.0164,20,230,1167,1,2,9695,0,1,0,0,0
3600,3609,1038,3,0,96,2,488,3,1187,12,1752,0.0291,20,273,1204,0,0,10281,0,0,0,0,0
3800,3809,1099,5,1,98,1,525,5,1262,15,1847,0.039,20,248,1263,2,4,10854,1,2,0,0,1
4000,4009,1164,7,0,93,5,496,14,1269,19,1922,0.0319,20,255,1296,3,6,11447,1,1,0,0,1
4200,4209,1221,9,1,95,3,523,11,1350,18,2041,0.0386,20,261,1331,3,6,12023,1,0,0,0,1
4400,4409,1281,11,0,95,7,532,17,1391,20,2104,0.0381,20,259,1385,2,4,12614,1,1,0,0,1
4600,4609,1351,13,2,99,9,521,17,1393,20,2165,0.0446,20,275,1396,2,4,13195,1,0,0,0,1
4800,4809,1408,15,3,97,6,522,13,1409,19,2231,0.0801,20,273,1421,2,4,13788,1,0,0,0,1
5000,5009,1465,17,0,98,8,528,14,1441,20,2329,0.093,20,296,1438,2,4,14367,1,0,0,0,1
5200,5209,1526,19,2,100,14,542,13,1459,20,2388,0.0959,20,304,1441,3,6,14960,1,2,0,0,1
5400,5409,1580,21,4,98,8,539,17,1464,20,2464,0.0982,20,313,1461,3,6,15551,1,0,0,0,1
5600,5609,1650,24,4,100,11,542,18,1539,20,2535,0.0945,20,323,1492,3,6,16135,1,0,0,0,1
5800,5809,1707,26,0,99,8,547,19,1539,20,2617,0.1206,20,285,1560,4,8,16726,1,1,0,0,1
6000,6009,1757,30,0,98,9,529,20,1577,20,2710,0.1529,20,319,1579,4,8,17321,1,0,0,0,1
6200,6209,1807,33,3,100,3,552,16,1616,20,2788,0.1788,20,304,1596,4,8,17910,1,0,0,0,1
6400,6409,1863,37,2,99,15,550,19,1649,20,2853,0.1855,20,344,1620,2,4,18508,1,1,0,0,1
6600,6609,1917,41,1,97,8,553,19,1667,20,2962,0.1845,20,320,1652,2,4,19100,1,0,0,0,1
