step,maxId,removed,holderDegree,s4,v4,s6,v6,s8,v8,s12,v12,holderTrend,bgSucc,bgHits,bgVis,rewireNodes,rewireJoins,edges,holderTrending
200,209,48,-1,0,58,0,109,0,122,0,125,0,11,14,123,0,0,575,0
400,409,99,-1,0,70,0,176,0,219,0,233,0,14,32,222,0,0,1155,0
600,609,160,-1,0,75,0,231,0,311,0,338,0,19,61,316,0,0,1715,0
800,809,222,-1,0,86,0,251,0,392,0,426,0,20,62,391,0,0,2274,0
1000,1009,267,-1,0,84,0,290,0,466,0,526,0,20,95,461,0,0,2856,0
1200,1209,331,-1,0,83,0,312,0,520,0,618,0,20,98,523,0,0,3434,0
1400,1409,396,-1,0,88,0,351,0,630,0,732,0,20,113,623,0,0,3989,0
1600,1609,451,-1,0,89,0,368,0,676,0,819,0,20,148,667,0,0,4563,0
1800,1809,505,-1,0,90,0,388,0,752,0,919,0,20,150,734,0,0,5137,0
2000,2009,568,-1,0,89,0,410,0,784,0,996,0,20,156,793,0,0,5700,0
2200,2209,627,-1,0,94,0,427,0,874,0,1132,0,20,184,888,0,0,6246,0
2400,2409,690,-1,0,94,0,443,0,926,0,1207,0,20,159,926,0,0,6822,0
2600,2609,761,-1,0,92,0,461,0,990,0,1301,0,20,208,967,0,0,7387,0
2800,2809,827,-1,0,96,0,463,0,1020,0,1371,0,20,194,1015,0,0,7961,0
3000,3009,883,3,1,96,1,472,5,1092,9,1491,0,20,219,1084,0,0,8515,0
3200,3209,954,3,0,101,1,488,4,1108,10,1567,0,20,213,1112,0,0,9098,0
3400,3409,1015,3,0,94,4,480,4,1153,6,1634,0.015,20,239,1144,0,0,9687,0
3600,3609,1080,3,0,96,2,492,4,1177,7,1715,0.0477,20,240,1175,0,0,10270,0
3800,3809,1143,3,1,100,2,502,6,1241,5,1799,0.0596,20,208,1227,0,0,10832,0
4000,4009,1208,3,0,98,3,508,2,1267,7,1869,0.0463,20,264,1257,0,0,11412,0
4200,4209,1262,3,0,99,0,495,2,1292,9,1929,0.0356,20,253,1283,0,0,11998,0
4400,4409,1318,3,0,94,1,494,3,1326,5,2015,0.0271,20,248,1306,0,0,12589,0
4600,4609,1380,3,0,96,1,518,4,1339,8,2064,0.0203,20,284,1319,0,0,13174,0
4800,4809,1449,3,2,99,2,514,5,1336,12,2121,0.0599,20,246,1359,0,0,13752,0
5000,5009,1495,3,0,98,1,517,2,1364,3,2188,0.0457,20,278,1343,0,0,14338,0
5200,5209,1539,3,1,98,1,497,1,1388,10,2272,0.0344,20,295,1406,0,0,14929,0
5400,5409,1598,3,0,97,1,525,4,1427,8,2349,0.0479,20,284,1410,0,0,15520,0
5600,5609,1652,3,0,98,3,537,2,1429,6,2436,0.0658,20,302,1461,0,0,16109,0
5800,5809,1723,3,0,100,1,526,2,1484,6,2518,0.0946,20,295,1492,0,0,16679,0
6000,6009,1786,3,0,96,0,546,1,1514,11,2622,0.1746,20,305,1519,0,0,17250,1
6200,6209,1841,3,0,99,1,546,2,1533,8,2697,0.1441,20,286,1519,0,0,17837,1
