step,maxId,removed,holderDegree,s4,v4,s6,v6,s8,v8,s12,v12,holderTrend,bgSucc,bgHits,bgVis,rewireNodes,rewireJoins,edges,holderTrending
200,209,44,-1,0,62,0,117,0,132,0,136,0,15,25,130,0,0,585,0
400,409,104,-1,0,69,0,168,0,216,0,224,0,19,51,213,0,0,1153,0
600,609,162,-1,0,77,0,217,0,304,0,338,0,19,57,305,0,0,1724,0
800,809,218,-1,0,80,0,249,0,377,0,440,0,20,71,392,0,0,2300,0
1000,1009,268,-1,0,85,0,272,0,452,0,519,0,20,87,449,0,0,2879,0
1200,1209,332,-1,0,87,0,309,0,528,0,629,0,20,91,527,1,2,3434,0
1400,1409,379,-1,0,87,0,335,0,613,0,746,0,20,123,611,1,2,4008,0
1600,1609,444,-1,0,87,0,347,0,674,0,817,0,20,134,658,1,2,4589,0
1800,1809,495,-1,0,92,0,387,0,753,0,932,0,20,142,745,0,0,5158,0
2000,2009,553,-1,0,90,0,388,0,795,0,1029,0,20,148,806,0,0,5737,0
2200,2209,610,-1,0,92,0,414,0,853,0,1125,0,20,185,860,0,0,6297,0
2400,2409,668,-1,0,93,0,428,0,917,0,1213,0,20,177,919,3,6,6881,0
2600,2609,731,-1,0,93,0,433,0,959,0,1298,0,20,171,953,6,12,7474,0
2800,2809,794,3,0,96,1,434,6,994,6,1365,0,20,202,979,5,10,8073,0
3000,3009,864,3,0,93,2,457,5,1042,9,1458,0,20,213,1026,3,6,8658,0
3200,3209,912,3,1,98,2,464,7,1073,7,1557,0,20,234,1073,2,4,9242,0
3400,3409,957,3,0,93,2,459,7,1094,4,1646,0,20,217,1127,2,4,9837,0
3600,3609,1020,3,1,94,0,476,6,1145,14,1747,0,20,238,1156,1,2,10420,0
3800,3809,1083,3,1,93,2,486,8,1198,11,1820,0,20,231,1187,2,4,11001,0
4000,4009,1145,3,1,97,2,480,5,1247,9,1886,0,20,222,1194,3,6,11595,0
4200,4209,1199,3,0,97,0,501,7,1246,9,1959,0,20,257,1271,3,6,12187,0
4400,4409,1258,3,0,96,2,496,6,1275,8,2050,0,20,255,1294,1,2,12776,0
4600,4609,1313,3,0,96,0,497,4,1297,10,2130,0,20,260,1312,1,2,13362,0
4800,4809,1386,3,0,98,3,514,6,1318,9,2172,0,20,272,1299,1,2,13945,0
5000,5009,1456,3,0,100,4,502,7,1371,7,2309,0,20,277,1370,0,0,14527,0
5200,5209,1515,3,1,95,0,502,7,1406,16,2374,0.0104,20,249,1405,0,0,15102,0
5400,5409,1566,3,0,96,1,527,4,1420,8,2438,0.0107,20,286,1449,1,2,15694,0
5600,5609,1636,3,1,98,2,532,5,1478,8,2511,0.0109,20,321,1459,2,4,16289,0
5800,5809,1688,3,0,99,0,532,5,1484,13,2627,0.011,20,330,1493,3,6,16865,0
6000,6009,1751,3,0,98,1,528,6,1543,8,2675,0,20,317,1516,4,8,17456,0
6200,6209,1813,3,0,99,2,542,4,1554,14,2782,0,20,305,1586,4,8,18048,0
6400,6409,1879,3,0,97,1,529,5,1576,11,2837,0,20,285,1605,5,10,18643,0
6600,6609,1939,3,0,100,0,547,3,1596,13,2920,0,20,333,1585,4,8,19240,0
6800,6809,2009,3,1,98,0,546,4,1640,10,2991,0,20,374,1618,2,4,19833,0
7000,7009,2068,3,0,99,0,548,3,1653,11,3070,0,20,346,1661,1,2,20419,0
7200,7209,2132,3,0,99,0,560,4,1675,14,3121,0,20,351,1665,5,10,21019,0
7400,7409,2190,3,0,95,1,571,3,1701,8,3174,0,20,354,1673,5,10,21619,0
7600,7609,2259,3,0,101,1,549,3,1767,9,3271,0.0393,20,346,1705,3,6,22217,0
7800,7809,2318,5,0,100,2,563,5,1743,12,3300,0.0795,20,371,1731,4,8,22809,1
8000,8009,2378,7,1,102,3,579,10,1757,16,3413,0.084,20,369,1775,5,10,23395,1
8200,8209,2442,9,0,97,3,588,10,1795,18,3482,0.0637,20,347,1797,5,10,23995,1
8400,8409,2505,11,1,97,5,581,10,1807,18,3559,0.056,20,355,1781,5,10,24592,1
8600,8609,2564,13,1,99,4,572,15,1834,20,3625,0.0288,20,370,1810,6,12,25197,1
8800,8809,2627,15,2,100,4,570,13,1846,20,3689,0.031,20,379,1806,6,12,25797,1
9000,9009,2687,16,0,98,6,584,9,1873,19,3760,0.0338,20,372,1849,8,16,26404,1
9200,9209,2747,18,0,99,2,578,11,1861,20,3816,0.0185,20,398,1857,9,18,27010,1
9400,9409,2810,20,0,99,6,599,16,1873,20,3899,0.0148,20,401,1891,6,12,27606,1
9600,9609,2867,22,1,102,7,590,13,1880,19,3924,0.0146,20,363,1904,5,10,28204,1
9800,9809,2932,24,0,101,8,575,16,1902,20,3980,0.0171,20,351,1899,6,12,28801,1
